# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 11:29:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/hiim9402.json
# init = 2 (Default)
# random
#   seed = 92123
# output
#   file = /home/lab5/output/code3-20230416112911_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,4.27339e-05,2.49832,2.49924,2.50015,2.50038,2.49887,2.50113,2.49927,2.50011,2.49919,2.49888,14.3449,14.6288,15.1042,15.4037,15.6009,15.7832,15.6491,15.8955,16.7237,16.4873,18,10,13,20,8,26,7,16,16,27
0,0,0.000116789,2.4996,2.50163,2.50117,2.50057,2.50044,2.50236,2.50024,2.50146,2.49899,2.49977,19.1204,20.1625,21.9391,23.1197,24.0336,24.7034,24.2061,25.2352,28.9937,27.9323,20,28,16,18,24,23,21,19,27,21
0,0,0.000101208,2.49803,2.49897,2.50037,2.49953,2.50098,2.49996,2.5017,2.4996,2.49723,2.49936,17.9753,18.8058,20.2701,21.2054,21.964,22.4334,22.1203,22.8606,25.7777,24.9943,24,22,14,19,17,21,26,21,19,25
0,0,0.000137094,2.50142,2.50079,2.50141,2.49942,2.50096,2.49883,2.50045,2.50123,2.49989,2.50046,20.7182,21.9836,24.3026,25.8119,27.0591,27.8247,27.2799,28.6275,33.7476,32.291,15,25,27,28,29,33,26,30,36,27
0,0,0.000168867,2.50128,2.49974,2.49921,2.4998,2.5002,2.49895,2.49943,2.50196,2.49834,2.49894,23.4204,25.1755,28.4488,30.7339,32.5244,33.7078,32.847,34.9115,42.6715,40.4099,18,26,27,26,42,27,41,38,52,43
0,0,0.000138735,2.50029,2.49835,2.49962,2.49998,2.49958,2.50014,2.50231,2.50061,2.49842,2.49968,20.8264,22.0853,24.46,26.0597,27.281,28.1382,27.5957,28.9033,34.1118,32.6442,15,18,24,29,40,34,37,31,42,21
0,0,3.99742e-05,2.50115,2.50043,2.50027,2.49955,2.50068,2.49967,2.49915,2.50031,2.50025,2.50102,14.2331,14.4735,14.8979,15.1598,15.3804,15.4999,15.3956,15.6281,16.4016,16.2017,12,8,11,16,16,10,15,15,19,9
0,0,8.90945e-05,2.49876,2.4989,2.50072,2.49857,2.4994,2.49821,2.49981,2.50009,2.50093,2.50111,17.166,17.85,19.0791,19.8241,20.4379,20.8158,20.5615,21.2111,23.6454,22.9728,17,13,16,25,26,18,21,21,28,31
0,0,6.8279e-05,2.5012,2.49989,2.49932,2.49931,2.49856,2.49997,2.49925,2.49742,2.5001,2.49823,15.8784,16.3379,17.1596,17.6996,18.0931,18.3916,18.1837,18.5843,20.2391,19.7567,11,19,20,14,30,14,18,19,27,23
0,0,8.47651e-05,2.49862,2.499,2.49979,2.50169,2.49888,2.50024,2.49805,2.49996,2.50044,2.49983,16.8789,17.5225,18.651,19.4197,19.9196,20.3205,20.0096,20.6445,22.8854,22.248,19,12,16,18,17,22,17,28,32,20
0,0,6.31308e-05,2.50017,2.49943,2.50066,2.50014,2.49902,2.50074,2.50136,2.50077,2.49858,2.5003,15.5497,15.9728,16.7437,17.2216,17.5676,17.843,17.679,18.0589,19.4497,19.0864,14,22,17,18,13,18,15,20,18,13
0,0,8.6987e-05,2.49996,2.50164,2.49938,2.49988,2.5003,2.49983,2.50094,2.50173,2.50129,2.5005,17.0472,17.7376,18.8529,19.622,20.2072,20.5862,20.3312,20.9691,23.2863,22.6173,18,16,17,15,12,28,30,20,16,23
0,0,0.000132551,2.4996,2.50026,2.49929,2.50072,2.49823,2.49883,2.49852,2.49976,2.49879,2.49863,20.3207,21.5467,23.7035,25.2097,26.2817,27.0723,26.5098,27.7885,32.5912,31.2077,20,22,26,22,26,26,29,26,36,28
0,0,1.23661e-05,2.5009,2.49884,2.4998,2.4971,2.50128,2.50029,2.49997,2.50029,2.50111,2.49888,12.7901,12.8329,12.9613,12.9991,13.1074,13.1299,13.1004,13.1608,13.3702,13.2867,6,9,17,10,19,14,10,10,16,9
0,0,0.000116604,2.50001,2.4986,2.50096,2.5002,2.49933,2.50065,2.5016,2.50071,2.49874,2.49911,19.1146,20.0854,21.9141,23.0879,23.9813,24.6338,24.2128,25.1872,28.9468,27.8774,26,21,15,26,20,36,24,31,23,22
0,0,0.000132873,2.49911,2.50097,2.49967,2.5003,2.5016,2.49973,2.50041,2.50199,2.50099,2.50121,20.3361,21.592,23.751,25.2439,26.4202,27.1494,26.6105,27.9064,32.7412,31.3603,33,22,25,31,29,24,36,14,26,29
0,0,8.97451e-05,2.50045,2.49838,2.50033,2.49945,2.50044,2.50175,2.50076,2.50117,2.50017,2.50001,17.2384,17.8908,19.1343,19.9123,20.5369,20.9719,20.6597,21.3201,23.7419,23.0537,21,19,21,22,22,25,19,27,29,22
0,0,0.000114058,2.4997,2.50128,2.50164,2.50107,2.50113,2.5,2.49938,2.50024,2.50138,2.50047,18.9216,19.92,21.65,22.7876,23.6712,24.2426,23.8004,24.7796,28.4792,27.4146,15,25,19,19,24,18,30,31,37,20
0,0,7.09585e-05,2.49862,2.4996,2.49988,2.50102,2.5,2.49912,2.49999,2.50001,2.50129,2.49959,16.0023,16.5225,17.4021,17.9922,18.4037,18.6755,18.486,18.9459,20.6709,20.1639,16,17,18,22,15,19,19,12,15,18
0,0,0.000177635,2.50091,2.49908,2.49976,2.49974,2.49922,2.49842,2.49975,2.49975,2.50092,2.49921,24.2186,26.1255,29.7471,32.245,34.192,35.5199,34.5951,36.7882,45.6627,43.02,14,22,22,33,28,33,36,37,45,52
0,0,7.50927e-05,2.49879,2.49921,2.4997,2.50121,2.49829,2.49951,2.50018,2.50037,2.50179,2.49969,16.2627,16.8122,17.7644,18.4081,18.8193,19.1546,18.9443,19.4467,21.3266,20.7672,13,16,17,20,23,24,18,23,16,23
0,0,0.000168087,2.50124,2.5001,2.50061,2.50126,2.49891,2.49909,2.50051,2.49946,2.50147,2.50073,23.3491,25.1001,28.3772,30.6474,32.3357,33.5541,32.7322,34.6558,42.5579,40.2586,17,14,31,27,43,37,23,31,42,30
0,0,0.000125615,2.49952,2.5009,2.5003,2.49917,2.50022,2.49895,2.49999,2.4992,2.50007,2.49995,19.782,20.9272,22.9145,24.2319,25.2936,25.9659,25.4885,26.5997,30.9932,29.7462,19,21,20,30,24,27,18,39,33,23
0,0,0.000163437,2.50113,2.5004,2.49959,2.49883,2.49946,2.50024,2.50057,2.50085,2.49938,2.49944,22.9309,24.6106,27.6933,29.8037,31.4905,32.6634,31.8516,33.7143,41.0262,38.8999,16,17,35,24,39,35,33,39,40,40
0,0,3.30028e-05,2.49797,2.49972,2.4981,2.49953,2.49956,2.49831,2.4987,2.50055,2.50055,2.49967,13.811,14.0361,14.3536,14.5912,14.7529,14.8413,14.7708,14.9682,15.5779,15.3978,9,15,12,14,15,15,14,16,9,18
0,0,0.000131053,2.49947,2.5011,2.49908,2.50045,2.50151,2.50157,2.50082,2.5017,2.49904,2.49933,20.2008,21.4264,23.5206,24.9969,26.1396,26.9022,26.338,27.5841,32.2384,30.8988,18,32,28,18,35,41,31,26,37,32
0,0,0.000156851,2.50064,2.50113,2.49959,2.5009,2.50096,2.50008,2.50003,2.50088,2.50082,2.49954,22.3441,23.941,26.7913,28.8066,30.3531,31.386,30.6258,32.3613,39.1226,37.1246,19,23,23,30,32,29,34,44,48,35
0,0,7.56236e-05,2.5002,2.49968,2.50067,2.49898,2.50051,2.50216,2.50019,2.49927,2.49973,2.49897,16.3191,16.8586,17.8291,18.4207,18.9194,19.2672,19.0036,19.4895,21.3669,20.8307,21,13,19,12,20,17,21,20,25,22
0,0,0.000136885,2.50041,2.50113,2.49942,2.4997,2.49926,2.50073,2.50097,2.49958,2.49953,2.50049,20.6806,21.9713,24.2288,25.7896,26.9804,27.8423,27.2608,28.5432,33.6832,32.2441,16,14,18,21,23,37,25,30,30,30
0,0,0.000102615,2.49955,2.49886,2.50065,2.50061,2.49836,2.50069,2.49915,2.49979,2.50005,2.49943,18.1007,18.9178,20.4196,21.3926,22.0865,22.6412,22.2472,23.066,26.1223,25.2473,16,18,13,26,22,25,19,19,19,32
0,0,8.74287e-05,2.50114,2.49897,2.50071,2.50103,2.49979,2.50117,2.49955,2.49805,2.49883,2.4993,17.0966,17.7238,18.9198,19.6923,20.2489,20.6689,20.3559,20.9496,23.3054,22.6612,12,21,22,24,21,18,14,22,23,27
0,0,9.93723e-05,2.49881,2.49922,2.49979,2.49966,2.49934,2.50075,2.501,2.50006,2.49913,2.50025,17.8622,18.6626,20.0722,20.9958,21.6953,22.2039,21.8677,22.6115,25.4768,24.6922,16,21,14,23,22,13,18,22,32,26
0,0,1.92752e-05,2.501,2.49886,2.50017,2.50072,2.49879,2.50103,2.49916,2.50131,2.50066,2.49969,13.1374,13.2202,13.4243,13.5497,13.6108,13.699,13.6323,13.753,14.0684,13.9667,12,11,13,18,12,11,14,17,18,12
0,0,0.000108865,2.50019,2.49774,2.49918,2.49859,2.49977,2.49916,2.49916,2.50065,2.50021,2.4996,18.5549,19.4113,21.0403,22.0933,22.9361,23.4751,23.0798,24.0014,27.3688,26.3983,21,16,21,21,17,23,15,25,31,18
0,0,7.98435e-05,2.5012,2.50038,2.4996,2.50112,2.50056,2.50026,2.49946,2.50142,2.4998,2.49864,16.6039,17.1793,18.1918,18.892,19.3902,19.7263,19.4666,20.0511,22.0491,21.4579,10,19,7,19,16,16,23,25,29,20
0,0,0.000119363,2.50097,2.49971,2.5004,2.49977,2.4999,2.50063,2.50152,2.50016,2.49984,2.49894,19.3379,20.3478,22.2077,23.4295,24.3828,25.0467,24.6067,25.6092,29.5789,28.4245,20,19,29,24,17,30,22,23,23,29
0,0,-4.60458e-06,2.49835,2.49927,2.50043,2.49857,2.49994,2.50037,2.49901,2.49931,2.50002,2.49946,11.9479,11.9349,11.9089,11.8619,11.86,11.8531,11.8455,11.8302,11.7728,11.784,16,10,13,13,7,18,13,11,13,17
0,0,5.39519e-05,2.50003,2.49927,2.50117,2.50021,2.50039,2.49915,2.50153,2.49965,2.5007,2.50059,15.006,15.3523,15.9968,16.3777,16.6777,16.855,16.7534,17.037,18.2055,17.8861,13,17,16,19,19,18,18,14,16,19
0,0,2.05045e-05,2.50209,2.5003,2.50096,2.49901,2.50017,2.49959,2.49892,2.49937,2.50076,2.50145,13.2143,13.3094,13.5182,13.6181,13.7272,13.7811,13.7278,13.8318,14.199,14.1141,21,16,11,14,17,18,10,14,16,9
0,0,0.000111191,2.50138,2.49881,2.49967,2.49966,2.49943,2.50029,2.49946,2.49847,2.50126,2.49914,18.7447,19.6275,21.2984,22.4009,23.2406,23.8339,23.4046,24.2986,27.8754,26.8261,19,14,23,30,25,22,18,19,26,19
0,0,0.000163682,2.50175,2.50101,2.49834,2.50167,2.50088,2.50033,2.49974,2.49835,2.5007,2.50077,22.9669,24.6515,27.6926,29.9284,31.5801,32.7145,31.8709,33.6814,41.1551,39.0192,28,22,26,34,20,27,28,30,30,36
0,0,0.000157281,2.49779,2.4997,2.49853,2.50074,2.49891,2.49921,2.49959,2.49988,2.50072,2.5021,22.3174,23.9511,26.821,28.8697,30.3664,31.4401,30.6897,32.4155,39.2438,37.3335,20,27,31,30,26,41,30,39,41,34
0,0,9.37841e-05,2.50029,2.49978,2.50101,2.49984,2.50075,2.49963,2.50094,2.49987,2.49878,2.49852,17.5067,18.2296,19.54,20.3661,21.0312,21.4438,21.16,21.8345,24.4316,23.6898,15,21,16,20,18,26,24,24,39,30
0,0,2.05909e-05,2.5008,2.50035,2.49992,2.49974,2.50096,2.50071,2.49948,2.50112,2.50043,2.50133,13.2016,13.315,13.51,13.6344,13.745,13.8036,13.7425,13.8634,14.2034,14.121,12,15,19,15,11,11,21,10,20,18
0,0,0.000159137,2.49904,2.501,2.50153,2.49938,2.50039,2.50114,2.49845,2.49863,2.50006,2.49847,22.5061,24.1744,27.1537,29.1253,30.7416,31.8557,30.9911,32.7511,39.7625,37.6924,19,21,22,27,28,44,28,33,41,25
0,0,0.000155734,2.50041,2.49916,2.49847,2.50148,2.49779,2.50155,2.49933,2.50049,2.50103,2.50103,22.2427,23.7793,26.6116,28.6473,30.0611,31.221,30.4041,32.1246,38.8071,36.886,21,34,26,20,32,23,19,34,46,36
0,0,0.000105713,2.49987,2.49995,2.49998,2.49981,2.50031,2.49983,2.50088,2.49969,2.50016,2.50011,18.3245,19.1924,20.7262,21.7415,22.5317,23.0485,22.6952,23.5127,26.7337,25.8269,16,20,23,28,22,24,26,27,34,30
0,0,7.23722e-05,2.49932,2.49907,2.49935,2.49956,2.50008,2.49994,2.50056,2.50127,2.50147,2.49989,16.1012,16.6145,17.517,18.1058,18.5572,18.8509,18.6509,19.1374,20.8931,20.3735,8,15,19,15,19,25,25,22,17,22
0,0,7.66625e-05,2.49807,2.5005,2.50089,2.49899,2.50048,2.50173,2.50055,2.50025,2.49945,2.49909,16.3499,16.948,17.9264,18.526,19.0335,19.3798,19.1269,19.6351,21.5264,20.9875,14,15,16,20,13,14,22,11,18,28
0,0,2.12521e-05,2.50072,2.49985,2.4981,2.49964,2.49993,2.50114,2.49995,2.50049,2.50056,2.50062,13.2344,13.3462,13.5303,13.6826,13.7837,13.8648,13.8025,13.9118,14.2752,14.1776,12,12,11,22,19,16,14,9,15,16
0,0,6.44708e-05,2.49886,2.49863,2.50038,2.49909,2.4983,2.50101,2.50151,2.49955,2.50067,2.49986,15.6099,16.0523,16.8522,17.3303,17.6924,17.9927,17.8215,18.1878,19.6856,19.2604,13,12,16,19,26,12,20,17,20,22
0,0,0.00014302,2.49896,2.4998,2.49987,2.49997,2.49959,2.49981,2.49918,2.49874,2.4984,2.50033,21.1458,22.5287,24.9988,26.6786,27.9693,28.8655,28.211,29.629,35.2149,33.6755,23,26,31,31,30,34,34,22,31,34
0,0,0.000119417,2.50027,2.49991,2.49745,2.50081,2.49942,2.50054,2.50128,2.50066,2.50272,2.4989,19.3285,20.3566,22.1483,23.461,24.3788,25.0528,24.6086,25.6308,29.6764,28.4345,23,28,19,20,24,26,21,26,39,25
0,0,0.000216362,2.49945,2.50123,2.5005,2.49995,2.50026,2.49924,2.49966,2.49981,2.50047,2.50059,28.0854,30.9255,36.1672,39.8781,42.8707,44.9052,43.433,46.8163,60.8667,56.7282,37,33,41,33,58,42,59,55,65,58
0,0,0.00012427,2.49922,2.49813,2.50071,2.49968,2.49948,2.50178,2.49968,2.49989,2.50059,2.49888,19.6735,20.7489,22.7692,24.066,25.078,25.829,25.28,26.3962,30.7009,29.4315,27,24,24,25,29,22,30,29,38,26
0,0,5.44769e-05,2.49946,2.49777,2.50022,2.50088,2.49989,2.50064,2.49928,2.5003,2.49974,2.50047,15.0278,15.3639,16.0237,16.436,16.7203,16.9336,16.7675,17.1039,18.2591,17.9509,13,12,18,19,22,12,17,17,20,23
0,0,0.000139704,2.49981,2.49953,2.49922,2.50037,2.49835,2.4997,2.49899,2.49888,2.49978,2.50176,20.8945,22.2036,24.5697,26.2086,27.4013,28.2907,27.6611,29.028,34.4049,32.9385,24,19,24,24,33,30,26,29,29,35
0,0,0.000118024,2.50002,2.49991,2.50003,2.50151,2.50087,2.49961,2.50252,2.49848,2.49922,2.50053,19.2198,20.235,22.0505,23.2986,24.2172,24.8198,24.4381,25.3541,29.268,28.2,20,17,23,29,24,21,21,32,25,23
0,0,0.000134453,2.50005,2.5007,2.50063,2.49987,2.5,2.50087,2.50111,2.50022,2.50007,2.49806,20.4798,21.7334,23.9634,25.4522,26.6213,27.4406,26.8774,28.1323,33.0976,31.6146,15,25,21,19,29,27,21,24,43,30
0,0,0.000151503,2.49971,2.49973,2.49879,2.49916,2.50122,2.49961,2.49913,2.50148,2.49912,2.50021,21.8666,23.364,26.0597,27.9258,29.4313,30.3751,29.6516,31.3207,37.5336,35.7639,24,19,22,24,27,38,34,25,32,39
0,0,3.01488e-05,2.4992,2.50041,2.4985,2.50152,2.49944,2.50047,2.50026,2.50072,2.50073,2.49981,13.6763,13.8744,14.1549,14.3933,14.5083,14.6195,14.5479,14.7072,15.2537,15.0907,19,12,13,21,16,21,17,21,14,14
0,0,7.87976e-05,2.50027,2.49968,2.49933,2.50021,2.49982,2.49921,2.50047,2.5006,2.50089,2.5001,16.5215,17.0903,18.0915,18.767,19.2583,19.5817,19.367,19.9047,21.9024,21.33,23,16,14,16,26,10,11,21,22,18
0,0,5.57251e-05,2.49967,2.49922,2.49917,2.49868,2.4995,2.49997,2.49908,2.49928,2.50008,2.50085,15.1037,15.469,16.1077,16.5124,16.8354,17.0502,16.8875,17.2198,18.4355,18.1178,20,15,12,18,15,26,19,14,14,16
